row_id,LABEL
1060,0
1061,0
1062,1
1063,0
1064,0
1065,0
1066,0
1067,0
1068,1
1069,1
1070,0
1071,1
1072,1
1073,1
1074,0
1075,1
1076,0
1077,1
1078,0
1079,0
1080,1
1081,1
1082,0
1083,0
1084,1
1085,0
1086,0
1087,1
1088,1
1089,1
1090,0
1091,1
1092,1
1093,0
1094,0
1095,0
1096,0
1097,1
1098,1
1099,1
1100,0
1101,0
1102,1
1103,1
1104,0
1105,0
1106,0
1107,0
1108,1
1109,1
1110,1
1111,0
1112,0
1113,0
1114,1
1115,1
1116,0
1117,0
1118,0
1119,0
1120,0
1121,0
1122,0
1123,0
1124,1
1125,0
1126,0
1127,0
1128,1
1129,1
1130,1
1131,0
1132,0
1133,0
1134,0
1135,0
1136,0
1137,1
1138,1
1139,0
1140,1
1141,0
1142,1
1143,0
1144,0
1145,0
1146,0
1147,0
1148,0
1149,1
1150,0
1151,0
1152,1
1153,0
1154,1
1155,0
1156,0
1157,1
1158,0
1159,1
1160,1
1161,0
1162,0
1163,0
1164,0
1165,1
1166,0
1167,0
1168,1
1169,1
1170,0
1171,1
1172,0
1173,1
1174,1
1175,1
1176,1
1177,0
1178,1
1179,1
1180,0
1181,0
1182,0
1183,0
1184,1
1185,1
1186,1
1187,0
1188,0
1189,0
1190,1
1191,1
1192,1
1193,0
1194,0
1195,0
1196,1
1197,1
1198,1
1199,1
1200,1
1201,1
1202,0
1203,1
1204,0
1205,0
1206,0
1207,0
1208,1
1209,0
1210,1
1211,0
1212,1
1213,1
1214,1
1215,0
1216,1
1217,0
1218,0
1219,0
1220,1
1221,0
1222,1
1223,1
1224,0
1225,1
1226,0
1227,1
1228,0
1229,1
1230,0
1231,0
1232,1
1233,0
1234,1
1235,1
1236,1
1237,0
1238,0
1239,1
1240,1
1241,0
1242,1
1243,0
1244,0
1245,0
1246,0
1247,1
1248,1
1249,1
1250,1
1251,1
1252,1
1253,0
1254,0
1255,1
1256,1
1257,1
1258,1
1259,0
1260,1
1261,0
1262,1
1263,0
1264,1
1265,0
1266,0
1267,1
1268,0
1269,1
1270,1
1271,0
1272,0
1273,0
1274,1
1275,1
1276,1
1277,1
1278,0
1279,0
1280,1
1281,0
1282,1
1283,0
1284,1
1285,1
1286,0
1287,0
1288,1
1289,1
1290,0
1291,1
1292,0
1293,0
1294,0
1295,0
1296,0
1297,1
1298,0
1299,0
1300,1
1301,0
1302,1
1303,0
1304,1
1305,0
1306,0
1307,1
1308,1
1309,1
1310,0
1311,1
1312,0
1313,0
1314,1
1315,1
1316,0
1317,1
1318,1
1319,1
1320,1
1321,0
1322,1
1323,1
1324,1
1325,1
1326,1
1327,1
1328,0
1329,0
1330,0
1331,1
1332,0
1333,0
1334,0
1335,1
1336,1
1337,1
1338,1
1339,0
1340,1
1341,0
1342,0
1343,0
1344,0
1345,0
1346,1
1347,1
1348,0
1349,1
1350,1
1351,1
1352,0
1353,1
1354,1
1355,1
1356,0
1357,0
1358,0
1359,1
1360,1
1361,0
1362,0
1363,0
1364,0
1365,0
1366,1
1367,1
1368,1
1369,1
1370,0
1371,1
1372,0
1373,1
1374,0
1375,0
1376,0
1377,0
1378,1
1379,1
1380,1
1381,1
1382,1
1383,0
1384,1
1385,0
1386,1
1387,1
1388,0
1389,0
1390,0
1391,0
1392,1
1393,1
1394,1
1395,0
1396,1
1397,0
1398,0
1399,0
1400,0
1401,1
1402,1
1403,0
1404,1
1405,0
1406,0
1407,1
1408,1
1409,1
1410,1
1411,0
1412,1
1413,1
1414,1
1415,1
1416,0
1417,0
1418,0
1419,0
1420,0
1421,0
1422,1
1423,1
1424,0
1425,0
1426,0
1427,1
1428,1
1429,0
1430,1
1431,1
1432,1
1433,0
1434,1
1435,0
1436,0
1437,0
1438,1
1439,0
1440,1
1441,0
1442,0
1443,0
1444,0
1445,0
1446,1
1447,1
1448,0
1449,0
1450,0
1451,1
1452,1
1453,1
1454,1
1455,0
1456,1
1457,0
1458,0
1459,1
1460,1
1461,1
1462,0
1463,0
1464,0
1465,1
1466,1
1467,0
1468,1
1469,0
1470,0
1471,1
1472,1
1473,0
1474,1
1475,0
1476,0
1477,1
1478,1
1479,0
1480,0
1481,1
1482,1
1483,0
1484,1
1485,1
1486,0
1487,1
1488,1
1489,0
1490,1
1491,1
1492,1
1493,1
1494,1
1495,0
1496,1
1497,1
1498,1
1499,1
1500,1
1501,0
1502,0
1503,0
1504,1
1505,1
1506,0
1507,1
1508,0
1509,1
1510,1
1511,1
1512,1
1513,1
1514,0
1515,1
1516,1
1517,0
1518,1
1519,0
1520,1
1521,0
1522,1
1523,1
1524,0
1525,0
1526,0
1527,1
1528,1
1529,0
1530,0
1531,1
1532,0
1533,0
1534,0
1535,0
1536,0
1537,0
1538,1
1539,1
1540,1
1541,1
1542,1
1543,1
1544,1
1545,0
1546,1
1547,0
1548,0
1549,0
1550,1
1551,0
1552,0
1553,1
1554,0
1555,0
1556,0
1557,1
1558,0
1559,0
1560,1
1561,1
1562,1
1563,0
1564,0
1565,0
1566,1
1567,1
1568,0
1569,0
1570,0
1571,1
1572,1
1573,0
1574,1
1575,0
1576,0
1577,1
1578,0
1579,0
1580,1
1581,1
1582,1
1583,1
1584,0
1585,0
1586,1
1587,0
1588,0
1589,0
1590,1
1591,0
1592,0
1593,1
1594,1
1595,1
1596,1
1597,1
1598,1
1599,1
1600,0
1601,0
1602,0
1603,1
1604,0
1605,1
1606,1
1607,1
1608,0
1609,1
1610,0
1611,0
1612,1
1613,1
1614,0
1615,1
1616,1
1617,1
1618,0
1619,0
1620,1
1621,1
1622,1
1623,1
1624,1
1625,0
1626,1
1627,0
1628,0
1629,1
1630,0
1631,1
1632,1
1633,1
1634,1
1635,0
1636,0
1637,0
1638,1
1639,1
1640,1
1641,1
1642,0
1643,0
1644,1
1645,1
1646,0
1647,1
1648,1
1649,0
1650,0
1651,0
1652,0
1653,1
1654,1
1655,1
1656,0
1657,0
1658,1
1659,1
1660,0
1661,1
1662,1
1663,1
1664,0
1665,0
1666,0
1667,1
1668,1
1669,0
1670,1
1671,1
1672,0
1673,1
1674,0
1675,0
1676,0
1677,0
1678,1
1679,1
1680,1
1681,0
1682,1
1683,0
1684,1
1685,0
1686,1
1687,0
1688,0
1689,1
1690,1
1691,1
1692,0
1693,0
1694,0
1695,0
1696,0
1697,1
1698,0
1699,1
1700,1
1701,1
1702,1
1703,1
1704,1
1705,1
1706,1
1707,0
1708,0
1709,1
1710,0
1711,1
1712,1
1713,1
1714,0
1715,0
1716,0
1717,1
1718,1
1719,1
1720,0
1721,1
1722,1
1723,0
1724,1
1725,1
1726,1
1727,0
1728,1
1729,0
1730,0
1731,0
1732,1
1733,0
1734,0
1735,1
1736,1
1737,1
1738,0
1739,1
1740,0
1741,0
1742,0
1743,0
1744,0
1745,0
1746,1
1747,0
1748,1
1749,1
1750,0
1751,1
1752,1
1753,0
1754,1
1755,1
1756,1
1757,1
1758,0
1759,1
1760,1
1761,1
1762,1
1763,1
1764,0
1765,1
1766,0
1767,1
1768,1
1769,0
1770,1
1771,0
1772,1
1773,0
1774,1
1775,1
1776,1
1777,1
1778,0
1779,1
1780,0
1781,1
1782,0
1783,0
1784,0
1785,0
1786,1
1787,0
1788,0
1789,0
1790,1
1791,1
1792,1
1793,1
1794,0
1795,0
1796,1
1797,1
1798,1
1799,1
1800,1
1801,0
1802,0
1803,0
1804,1
1805,0
1806,1
1807,1
1808,0
1809,0
1810,0
1811,0
1812,1
1813,1
1814,1
1815,0
1816,0
1817,0
1818,0
1819,0
1820,0
1821,0
1822,0
1823,1
1824,1
1825,0
1826,0
1827,1
1828,0
1829,0
1830,0
1831,1
1832,1
1833,0
1834,0
1835,0
1836,1
1837,0
1838,0
1839,0
1840,1
1841,0
1842,0
1843,0
1844,0
1845,0
1846,0
1847,1
1848,1
1849,0
1850,1
1851,1
1852,0
1853,1
1854,0
1855,1
1856,1
1857,0
1858,1
1859,0
1860,0
1861,0
1862,0
1863,1
1864,1
1865,0
1866,1
1867,1
1868,0
1869,1
1870,0
1871,1
1872,0
1873,0
1874,0
1875,1
1876,1
1877,0
1878,0
1879,1
1880,1
1881,1
1882,0
1883,1
1884,1
1885,0
1886,1
1887,1
1888,0
1889,0
1890,1
1891,0
1892,1
1893,1
1894,1
1895,1
1896,1
1897,0
1898,0
1899,1
1900,0
1901,1
1902,1
1903,0
1904,0
1905,1
1906,0
1907,0
1908,1
1909,1
1910,1
1911,0
1912,1
1913,1
1914,1
1915,1
1916,0
1917,0
1918,1
1919,0
1920,0
1921,0
1922,1
1923,0
1924,1
1925,1
1926,1
1927,0
1928,0
1929,1
1930,1
1931,0
1932,0
1933,1
1934,0
1935,0
1936,1
1937,1
1938,1
1939,1
1940,0
1941,0
1942,0
1943,1
1944,0
1945,1
1946,0
1947,1
1948,0
1949,0
1950,0
1951,0
1952,1
1953,1
1954,1
1955,1
1956,0
1957,1
1958,0
1959,0
1960,0
1961,0
1962,0
1963,1
1964,0
1965,0
1966,0
1967,1
1968,0
1969,1
1970,0
1971,0
1972,1
1973,1
1974,0
1975,0
1976,1
1977,0
1978,0
1979,1
1980,1
1981,1
1982,1
1983,1
1984,0
1985,0
1986,0
1987,0
1988,0
1989,1
1990,0
1991,1
1992,0
1993,0
1994,1
1995,1
1996,1
1997,0
1998,0
1999,1
2000,1
2001,0
2002,1
2003,0
2004,0
2005,0
2006,1
2007,1
2008,1
2009,0
2010,0
2011,0
2012,0
2013,1
2014,0
2015,1
2016,0
2017,0
2018,0
2019,0
2020,0
2021,1
2022,1
2023,1
2024,0
2025,1
2026,0
2027,1
2028,0
2029,1
2030,0
2031,0
2032,1
2033,1
2034,1
2035,0
2036,1
2037,0
2038,0
2039,0
2040,1
2041,0
2042,1
2043,0
2044,1
2045,0
2046,0
2047,1
2048,1
2049,1
2050,0
2051,1
2052,0
2053,0
2054,1
2055,1
2056,0
2057,0
2058,0
2059,0
2060,1
2061,1
2062,1
2063,0
2064,0
2065,0
2066,0
2067,0
2068,0
2069,0
2070,0
2071,1
2072,1
2073,1
2074,1
2075,0
2076,1
2077,1
2078,0
2079,1
2080,0
2081,0
2082,1
2083,1
2084,1
2085,0
2086,0
2087,0
2088,0
2089,1
2090,1
2091,0
2092,0
2093,1
2094,1
2095,1
2096,0
2097,1
2098,1
2099,0
2100,1
2101,1
2102,0
2103,0
2104,1
2105,1
2106,0
2107,0
2108,0
2109,0
2110,1
2111,0
2112,1
2113,1
2114,0
2115,0
2116,0
2117,1
2118,0
2119,1
2120,0
2121,0
2122,0
2123,1
2124,1
2125,1
2126,1
2127,1
2128,1
2129,1
2130,0
2131,0
2132,0
2133,1
2134,1
2135,0
2136,1
2137,1
2138,1
2139,1
2140,0
2141,0
2142,1
2143,0
2144,1
2145,1
2146,0
2147,1
2148,0
2149,0
2150,0
2151,1
2152,0
2153,0
2154,0
2155,1
2156,0
2157,1
2158,0
2159,1
2160,0
2161,0
2162,1
2163,0
2164,1
2165,0
2166,0
2167,1
2168,0
2169,1
2170,1
2171,1
2172,1
2173,0
2174,0
2175,0
2176,0
2177,1
2178,1
2179,0
2180,0
2181,0
2182,0
2183,1
2184,1
2185,1
2186,0
2187,1
2188,1
2189,1
2190,0
2191,0
2192,0
2193,0
2194,0
2195,1
2196,0
2197,0
2198,0
2199,0
2200,0
2201,1
2202,1
2203,1
2204,1
2205,1
2206,0
2207,0
2208,0
2209,1
2210,0
2211,1
2212,0
2213,1
2214,0
2215,1
2216,0
2217,1
2218,0
2219,0
2220,1
2221,0
2222,0
2223,1
2224,1
2225,0
2226,0
2227,1
2228,0
2229,0
2230,1
2231,1
2232,1
2233,1
2234,0
2235,1
2236,0
2237,0
2238,1
2239,1
2240,1
2241,1
2242,1
2243,0
2244,1
2245,1
2246,1
2247,0
2248,0
2249,1
2250,1
2251,1
2252,1
2253,1
2254,1
2255,1
2256,0
2257,0
2258,0
2259,1
2260,1
2261,0
2262,1
2263,1
2264,0
2265,0
2266,1
2267,1
2268,1
2269,1
2270,0
2271,1
2272,1
2273,1
2274,1
2275,1
2276,0
2277,0
2278,1
2279,1
2280,1
2281,0
2282,1
2283,1
2284,1
2285,1
2286,1
2287,0
2288,1
2289,0
2290,1
2291,0
2292,0
2293,1
2294,0
2295,1
2296,0
2297,1
2298,0
2299,0
2300,0
2301,1
2302,1
2303,0
2304,0
2305,1
2306,0
2307,0
2308,1
2309,1
2310,0
2311,0
2312,1
2313,0
2314,0
2315,0
2316,0
2317,0
2318,0
2319,1
2320,1
2321,1
2322,0
2323,1
2324,1
2325,1
2326,0
2327,1
2328,0
2329,1
2330,0
2331,0
2332,0
2333,1
2334,1
2335,1
2336,0
2337,0
2338,1
2339,1
2340,0
2341,1
2342,1
2343,1
2344,1
2345,0
2346,1
2347,1
2348,1
2349,1
2350,0
2351,0
2352,0
2353,1
2354,0
2355,0
2356,1
2357,1
2358,0
2359,0
2360,1
2361,0
2362,1
2363,0
2364,0
2365,0
2366,1
2367,1
2368,0
2369,1
2370,0
2371,1
2372,0
2373,1
2374,0
2375,0
2376,0
2377,1
2378,1
2379,0
2380,1
2381,1
2382,0
2383,0
2384,1
2385,0
2386,0
2387,1
2388,1
2389,1
2390,0
2391,1
2392,1
2393,1
2394,0
2395,0
2396,0
2397,1
2398,1
2399,0
2400,0
2401,0
2402,0
2403,0
2404,1
2405,1
2406,1
2407,1
2408,1
2409,1
2410,1
2411,1
2412,1
2413,0
2414,1
2415,0
2416,1
2417,1
2418,0
2419,1
2420,1
2421,0
2422,0
2423,1
2424,1
2425,1
2426,0
2427,1
2428,1
2429,0
2430,1
2431,0
2432,0
2433,0
2434,1
2435,1
2436,1
2437,1
2438,0
2439,1
2440,0
2441,1
2442,1
2443,1
2444,1
2445,0
2446,1
2447,0
2448,0
2449,1
2450,1
2451,1
2452,0
2453,0
2454,1
2455,0
2456,1
2457,1
2458,0
2459,1
2460,1
2461,1
2462,0
2463,1
2464,0
2465,0
2466,0
2467,1
2468,0
2469,1
2470,1
2471,1
2472,1
2473,1
2474,1
2475,1
2476,1
2477,0
2478,1
2479,0
2480,0
2481,1
2482,1
2483,0
2484,0
2485,1
2486,1
2487,1
2488,0
2489,0
2490,1
2491,0
2492,1
2493,0
2494,0
2495,0
2496,1
2497,1
2498,1
2499,1
2500,0
2501,1
2502,1
2503,0
2504,0
2505,0
2506,1
2507,0
2508,1
2509,1
2510,1
2511,0
2512,1
2513,0
2514,1
2515,1
2516,1
2517,1
2518,1
2519,0
2520,1
2521,1
2522,0
2523,0
2524,1
2525,0
2526,0
2527,0
2528,0
2529,0
2530,0
2531,0
2532,1
2533,1
2534,1
2535,0
2536,1
2537,1
2538,0
2539,1
2540,1
2541,1
2542,1
2543,0
2544,0
2545,0
2546,1
2547,0
2548,0
2549,1
2550,1
2551,0
2552,1
2553,1
2554,1
2555,0
2556,0
2557,0
2558,1
2559,1
2560,0
2561,1
2562,1
2563,0
2564,0
2565,1
2566,0
2567,1
2568,0
2569,1
2570,1
2571,1
2572,0
2573,0
2574,1
2575,1
2576,1
2577,0
2578,1
2579,1
2580,0
2581,1
2582,1
2583,1
2584,0
2585,1
2586,0
2587,1
2588,1
2589,0
2590,0
2591,0
2592,0
2593,1
2594,1
2595,0
2596,0
2597,1
2598,0
2599,1
2600,1
2601,0
2602,0
2603,1
2604,1
2605,1
2606,0
2607,1
2608,1
2609,1
2610,0
2611,1
2612,0
2613,0
2614,0
2615,1
2616,0
2617,1
2618,0
2619,1
2620,0
2621,0
2622,1
2623,0
2624,1
2625,0
2626,1
2627,1
2628,1
2629,0
2630,1
2631,0
2632,1
2633,0
2634,0
2635,1
2636,1
2637,0
2638,1
2639,1
2640,0
2641,0
2642,1
2643,1
2644,0
2645,1
2646,0
2647,0
2648,1
2649,0
2650,0
2651,0
2652,1
2653,0
2654,0
2655,0
2656,1
2657,1
2658,1
2659,0
2660,1
2661,1
2662,1
2663,0
2664,0
2665,1
2666,1
2667,0
2668,1
2669,0
2670,1
2671,0
2672,1
2673,0
2674,0
2675,0
2676,1
2677,0
2678,0
2679,1
2680,0
2681,1
2682,0
2683,1
2684,1
2685,0
2686,0
2687,0
2688,1
2689,1
2690,1
2691,1
2692,1
2693,1
2694,1
2695,1
2696,1
2697,1
2698,1
2699,1
2700,1
2701,0
2702,1
2703,0
2704,1
2705,1
2706,0
2707,0
2708,0
2709,0
2710,1
2711,0
2712,1
2713,1
2714,0
2715,1
2716,1
2717,0
2718,0
2719,0
2720,1
2721,1
2722,0
2723,0
2724,1
2725,0
2726,0
2727,1
2728,0
2729,0
2730,0
2731,1
2732,0
2733,0
2734,0
2735,0
2736,1
2737,1
2738,1
2739,1
2740,0
2741,1
2742,0
2743,1
2744,1
2745,0
2746,0
2747,1
2748,0
2749,1
2750,1
2751,0
2752,1
2753,1
2754,0
2755,1
2756,0
2757,1
2758,1
2759,0
2760,1
2761,0
2762,1
2763,1
2764,0
2765,0
2766,0
2767,0
2768,0
2769,0
2770,1
2771,1
2772,1
2773,1
2774,0
2775,1
2776,1
2777,0
2778,1
2779,1
2780,0
2781,1
2782,1
2783,0
2784,0
2785,1
2786,0
2787,1
2788,0
2789,1
2790,0
2791,0
2792,1
2793,1
2794,0
2795,0
2796,1
2797,1
2798,1
2799,0
2800,0
2801,1
2802,0
2803,1
2804,1
2805,0
2806,0
2807,0
2808,0
2809,1
2810,0
2811,1
2812,1
2813,0
2814,0
2815,0
2816,0
2817,0
2818,0
2819,0
2820,1
2821,1
2822,1
2823,1
2824,0
2825,0
2826,0
2827,0
2828,0
2829,1
2830,1
2831,0
2832,1
2833,1
2834,1
2835,1
2836,1
2837,0
2838,1
2839,0
2840,1
2841,0
2842,0
2843,1
2844,1
2845,0
2846,0
2847,1
2848,0
2849,1
2850,0
2851,0
2852,1
2853,0
2854,0
2855,0
2856,0
2857,1
2858,0
2859,1
2860,0
2861,1
2862,1
2863,0
2864,1
2865,1
2866,1
2867,0
2868,1
2869,0
2870,0
2871,0
2872,1
2873,1
2874,1
2875,1
2876,1
2877,1
2878,0
2879,0
2880,0
2881,0
2882,0
2883,0
2884,1
2885,1
2886,0
2887,1
2888,1
2889,1
2890,1
2891,0
2892,1
2893,1
2894,0
2895,0
2896,0
2897,0
2898,0
2899,0
2900,0
2901,0
2902,1
2903,0
2904,1
2905,1
2906,0
2907,0
2908,0
2909,1
2910,0
2911,0
2912,0
2913,0
2914,0
2915,0
2916,1
2917,1
2918,1
2919,0
2920,0
2921,0
2922,1
2923,0
2924,0
2925,1
2926,0
2927,0
2928,1
2929,1
2930,1
2931,0
2932,0
2933,0
2934,0
2935,0
2936,0
2937,1
2938,0
2939,0
2940,1
2941,0
2942,0
2943,0
2944,0
2945,1
2946,1
2947,1
2948,0
2949,1
2950,0
2951,1
2952,1
2953,0
2954,1
2955,0
2956,1
2957,0
2958,1
2959,0
2960,1
2961,0
2962,0
2963,1
2964,0
2965,1
2966,1
2967,0
2968,0
2969,1
2970,0
2971,1
2972,1
2973,1
2974,1
2975,1
2976,0
2977,0
2978,0
2979,1
2980,0
2981,0
2982,0
2983,0
2984,1
2985,0
2986,1
2987,1
2988,1
2989,1
2990,1
2991,1
2992,1
2993,1
2994,0
2995,1
